[2025-05-13 12:00:56,234: INFO: main: Logging is implemented]
[2025-05-13 16:45:13,608: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-13 16:45:13,623: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-13 16:48:11,578: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-13 16:48:11,584: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-13 16:48:11,590: INFO: common: created directory at: artifacts]
[2025-05-13 16:48:11,593: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-13 16:48:14,867: INFO: 227420655: File is downloaded]
[2025-05-13 17:01:33,726: INFO: main: stage Data Ingestion stage initiated]
[2025-05-13 17:01:33,732: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-13 17:01:33,735: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-13 17:01:33,738: INFO: common: created directory at: artifacts]
[2025-05-13 17:01:33,741: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-13 17:01:34,724: INFO: data_ingestion: File is downloaded]
[2025-05-13 17:01:35,062: INFO: main: Stage Data Ingestion stage Completed]
[2025-05-14 14:31:08,643: INFO: utils: NumExpr defaulting to 4 threads.]
[2025-05-14 14:31:13,786: INFO: config: PyTorch version 2.7.0 available.]
[2025-05-14 14:31:13,805: INFO: config: TensorFlow version 2.18.0 available.]
[2025-05-14 14:31:21,550: INFO: main: stage Data Ingestion stage initiated]
[2025-05-14 14:31:21,558: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-14 14:31:21,594: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-14 14:31:21,603: INFO: common: created directory at: artifacts]
[2025-05-14 14:31:21,613: INFO: common: created directory at: artifacts/data_ingestion]
[2025-05-14 14:31:21,616: INFO: data_ingestion: File already exits]
[2025-05-14 14:31:22,078: INFO: main: Stage Data Ingestion stage Completed]
[2025-05-14 14:31:22,078: INFO: main: stage Data Transformation stage initiated]
[2025-05-14 14:31:22,083: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-05-14 14:31:22,092: INFO: common: yaml file: params.yaml loaded successfully]
[2025-05-14 14:31:22,093: INFO: common: created directory at: artifacts]
[2025-05-14 14:31:22,097: INFO: common: created directory at: artifacts/data_transformation]
[2025-05-14 14:31:50,829: INFO: main: Stage Data Transformation stage Completed]
